"P","SOA","freq","primetype","prime","target","RT"
525,"SOA47","L","UN","infusion","CRESCENT",550
535,"SOA47","L","UN","infusion","CRESCENT",571
541,"SOA47","L","UN","infusion","CRESCENT",942
321,"SOA80","L","PDISS","croscent","CRESCENT",1546
324,"SOA80","L","PDISS","croscent","CRESCENT",438
327,"SOA80","L","PDISS","croscent","CRESCENT",626
330,"SOA80","L","PDISS","croscent","CRESCENT",1096
333,"SOA80","L","PDISS","croscent","CRESCENT",731
336,"SOA80","L","PDISS","croscent","CRESCENT",595
345,"SOA80","L","PDISS","croscent","CRESCENT",522
348,"SOA80","L","PDISS","croscent","CRESCENT",738
354,"SOA80","L","PDISS","croscent","CRESCENT",1018
357,"SOA80","L","PDISS","croscent","CRESCENT",667
320,"SOA80","L","PSIM","cressent","CRESCENT",920
322,"SOA80","L","PSIM","cressent","CRESCENT",824
328,"SOA80","L","PSIM","cressent","CRESCENT",729
332,"SOA80","L","PSIM","cressent","CRESCENT",564
334,"SOA80","L","PSIM","cressent","CRESCENT",549
338,"SOA80","L","PSIM","cressent","CRESCENT",331
344,"SOA80","L","PSIM","cressent","CRESCENT",954
346,"SOA80","L","PSIM","cressent","CRESCENT",594
319,"SOA80","L","UN","infusion","CRESCENT",851
323,"SOA80","L","UN","infusion","CRESCENT",923
325,"SOA80","L","UN","infusion","CRESCENT",595
329,"SOA80","L","UN","infusion","CRESCENT",1033
331,"SOA80","L","UN","infusion","CRESCENT",718
335,"SOA80","L","UN","infusion","CRESCENT",636
337,"SOA80","L","UN","infusion","CRESCENT",884
339,"SOA80","L","UN","infusion","CRESCENT",918
355,"SOA80","L","UN","infusion","CRESCENT",790
501,"SOA47","M","PDISS","demisive","DECISIVE",583
504,"SOA47","M","PDISS","demisive","DECISIVE",763
507,"SOA47","M","PDISS","demisive","DECISIVE",454
510,"SOA47","M","PDISS","demisive","DECISIVE",611
513,"SOA47","M","PDISS","demisive","DECISIVE",504
516,"SOA47","M","PDISS","demisive","DECISIVE",526
519,"SOA47","M","PDISS","demisive","DECISIVE",416
522,"SOA47","M","PDISS","demisive","DECISIVE",635
525,"SOA47","M","PDISS","demisive","DECISIVE",658
528,"SOA47","M","PDISS","demisive","DECISIVE",506
503,"SOA47","M","PSIM","desisive","DECISIVE",508
509,"SOA47","M","PSIM","desisive","DECISIVE",525
511,"SOA47","M","PSIM","desisive","DECISIVE",500
515,"SOA47","M","PSIM","desisive","DECISIVE",741
517,"SOA47","M","PSIM","desisive","DECISIVE",707
521,"SOA47","M","PSIM","desisive","DECISIVE",533
523,"SOA47","M","PSIM","desisive","DECISIVE",616
527,"SOA47","M","PSIM","desisive","DECISIVE",1222
535,"SOA47","M","PSIM","desisive","DECISIVE",644
541,"SOA47","M","PSIM","desisive","DECISIVE",611
502,"SOA47","M","UN","circular","DECISIVE",527
506,"SOA47","M","UN","circular","DECISIVE",770
508,"SOA47","M","UN","circular","DECISIVE",467
512,"SOA47","M","UN","circular","DECISIVE",509
514,"SOA47","M","UN","circular","DECISIVE",616
520,"SOA47","M","UN","circular","DECISIVE",504
524,"SOA47","M","UN","circular","DECISIVE",517
526,"SOA47","M","UN","circular","DECISIVE",490
530,"SOA47","M","UN","circular","DECISIVE",513
319,"SOA80","M","PDISS","demisive","DECISIVE",560
322,"SOA80","M","PDISS","demisive","DECISIVE",877
325,"SOA80","M","PDISS","demisive","DECISIVE",574
328,"SOA80","M","PDISS","demisive","DECISIVE",872
331,"SOA80","M","PDISS","demisive","DECISIVE",495
334,"SOA80","M","PDISS","demisive","DECISIVE",557
337,"SOA80","M","PDISS","demisive","DECISIVE",617
338,"SOA80","M","PDISS","demisive","DECISIVE",515
346,"SOA80","M","PDISS","demisive","DECISIVE",452
355,"SOA80","M","PDISS","demisive","DECISIVE",636
321,"SOA80","M","PSIM","desisive","DECISIVE",890
323,"SOA80","M","PSIM","desisive","DECISIVE",507
327,"SOA80","M","PSIM","desisive","DECISIVE",753
329,"SOA80","M","PSIM","desisive","DECISIVE",902
333,"SOA80","M","PSIM","desisive","DECISIVE",642
335,"SOA80","M","PSIM","desisive","DECISIVE",390
339,"SOA80","M","PSIM","desisive","DECISIVE",520
345,"SOA80","M","PSIM","desisive","DECISIVE",652
347,"SOA80","M","PSIM","desisive","DECISIVE",885
357,"SOA80","M","PSIM","desisive","DECISIVE",588
320,"SOA80","M","UN","circular","DECISIVE",892
324,"SOA80","M","UN","circular","DECISIVE",604
326,"SOA80","M","UN","circular","DECISIVE",626
330,"SOA80","M","UN","circular","DECISIVE",722
332,"SOA80","M","UN","circular","DECISIVE",555
344,"SOA80","M","UN","circular","DECISIVE",654
348,"SOA80","M","UN","circular","DECISIVE",556
350,"SOA80","M","UN","circular","DECISIVE",473
354,"SOA80","M","UN","circular","DECISIVE",726
503,"SOA47","M","PDISS","demacracy","DEMOCRACY",416
506,"SOA47","M","PDISS","demacracy","DEMOCRACY",595
509,"SOA47","M","PDISS","demacracy","DEMOCRACY",848
512,"SOA47","M","PDISS","demacracy","DEMOCRACY",660
515,"SOA47","M","PDISS","demacracy","DEMOCRACY",418
521,"SOA47","M","PDISS","demacracy","DEMOCRACY",764
524,"SOA47","M","PDISS","demacracy","DEMOCRACY",491
527,"SOA47","M","PDISS","demacracy","DEMOCRACY",522
530,"SOA47","M","PDISS","demacracy","DEMOCRACY",508
536,"SOA47","M","PDISS","demacracy","DEMOCRACY",515
504,"SOA47","M","PSIM","democrecy","DEMOCRACY",619
508,"SOA47","M","PSIM","democrecy","DEMOCRACY",526
510,"SOA47","M","PSIM","democrecy","DEMOCRACY",675
514,"SOA47","M","PSIM","democrecy","DEMOCRACY",477
516,"SOA47","M","PSIM","democrecy","DEMOCRACY",780
520,"SOA47","M","PSIM","democrecy","DEMOCRACY",531
522,"SOA47","M","PSIM","democrecy","DEMOCRACY",566
526,"SOA47","M","PSIM","democrecy","DEMOCRACY",429
528,"SOA47","M","PSIM","democrecy","DEMOCRACY",462
501,"SOA47","M","UN","curiosity","DEMOCRACY",735
507,"SOA47","M","UN","curiosity","DEMOCRACY",545
511,"SOA47","M","UN","curiosity","DEMOCRACY",418
513,"SOA47","M","UN","curiosity","DEMOCRACY",530
517,"SOA47","M","UN","curiosity","DEMOCRACY",661
519,"SOA47","M","UN","curiosity","DEMOCRACY",545
523,"SOA47","M","UN","curiosity","DEMOCRACY",625
525,"SOA47","M","UN","curiosity","DEMOCRACY",489
535,"SOA47","M","UN","curiosity","DEMOCRACY",1023
541,"SOA47","M","UN","curiosity","DEMOCRACY",536
321,"SOA80","M","PDISS","demacracy","DEMOCRACY",928
324,"SOA80","M","PDISS","demacracy","DEMOCRACY",430
327,"SOA80","M","PDISS","demacracy","DEMOCRACY",681
330,"SOA80","M","PDISS","demacracy","DEMOCRACY",631
333,"SOA80","M","PDISS","demacracy","DEMOCRACY",617
345,"SOA80","M","PDISS","demacracy","DEMOCRACY",637
348,"SOA80","M","PDISS","demacracy","DEMOCRACY",456
354,"SOA80","M","PDISS","demacracy","DEMOCRACY",1366
357,"SOA80","M","PDISS","demacracy","DEMOCRACY",617
320,"SOA80","M","PSIM","democrecy","DEMOCRACY",834
322,"SOA80","M","PSIM","democrecy","DEMOCRACY",648
326,"SOA80","M","PSIM","democrecy","DEMOCRACY",1407
328,"SOA80","M","PSIM","democrecy","DEMOCRACY",436
332,"SOA80","M","PSIM","democrecy","DEMOCRACY",473
334,"SOA80","M","PSIM","democrecy","DEMOCRACY",556
338,"SOA80","M","PSIM","democrecy","DEMOCRACY",443
344,"SOA80","M","PSIM","democrecy","DEMOCRACY",642
346,"SOA80","M","PSIM","democrecy","DEMOCRACY",481
350,"SOA80","M","PSIM","democrecy","DEMOCRACY",474
323,"SOA80","M","UN","curiosity","DEMOCRACY",625
325,"SOA80","M","UN","curiosity","DEMOCRACY",628
329,"SOA80","M","UN","curiosity","DEMOCRACY",770
331,"SOA80","M","UN","curiosity","DEMOCRACY",648
335,"SOA80","M","UN","curiosity","DEMOCRACY",466
337,"SOA80","M","UN","curiosity","DEMOCRACY",578
339,"SOA80","M","UN","curiosity","DEMOCRACY",705
347,"SOA80","M","UN","curiosity","DEMOCRACY",764
355,"SOA80","M","UN","curiosity","DEMOCRACY",617
501,"SOA47","M","PDISS","deterpent","DETERGENT",877
504,"SOA47","M","PDISS","deterpent","DETERGENT",1146
507,"SOA47","M","PDISS","deterpent","DETERGENT",591
510,"SOA47","M","PDISS","deterpent","DETERGENT",571
513,"SOA47","M","PDISS","deterpent","DETERGENT",463
516,"SOA47","M","PDISS","deterpent","DETERGENT",508
519,"SOA47","M","PDISS","deterpent","DETERGENT",374
522,"SOA47","M","PDISS","deterpent","DETERGENT",759
525,"SOA47","M","PDISS","deterpent","DETERGENT",411
528,"SOA47","M","PDISS","deterpent","DETERGENT",587
503,"SOA47","M","PSIM","detergant","DETERGENT",516
509,"SOA47","M","PSIM","detergant","DETERGENT",499
511,"SOA47","M","PSIM","detergant","DETERGENT",515
515,"SOA47","M","PSIM","detergant","DETERGENT",962
517,"SOA47","M","PSIM","detergant","DETERGENT",1190
521,"SOA47","M","PSIM","detergant","DETERGENT",546
523,"SOA47","M","PSIM","detergant","DETERGENT",547
527,"SOA47","M","PSIM","detergant","DETERGENT",1373
535,"SOA47","M","PSIM","detergant","DETERGENT",606
541,"SOA47","M","PSIM","detergant","DETERGENT",634
502,"SOA47","M","UN","fantastic","DETERGENT",687
506,"SOA47","M","UN","fantastic","DETERGENT",668
508,"SOA47","M","UN","fantastic","DETERGENT",663
512,"SOA47","M","UN","fantastic","DETERGENT",515
514,"SOA47","M","UN","fantastic","DETERGENT",576
520,"SOA47","M","UN","fantastic","DETERGENT",593
524,"SOA47","M","UN","fantastic","DETERGENT",777
526,"SOA47","M","UN","fantastic","DETERGENT",802
530,"SOA47","M","UN","fantastic","DETERGENT",552
536,"SOA47","M","UN","fantastic","DETERGENT",653
319,"SOA80","M","PDISS","deterpent","DETERGENT",913
322,"SOA80","M","PDISS","deterpent","DETERGENT",909
325,"SOA80","M","PDISS","deterpent","DETERGENT",557
328,"SOA80","M","PDISS","deterpent","DETERGENT",647
331,"SOA80","M","PDISS","deterpent","DETERGENT",774
334,"SOA80","M","PDISS","deterpent","DETERGENT",1097
337,"SOA80","M","PDISS","deterpent","DETERGENT",1106
338,"SOA80","M","PDISS","deterpent","DETERGENT",478
346,"SOA80","M","PDISS","deterpent","DETERGENT",485
355,"SOA80","M","PDISS","deterpent","DETERGENT",554
321,"SOA80","M","PSIM","detergant","DETERGENT",1692
323,"SOA80","M","PSIM","detergant","DETERGENT",677
327,"SOA80","M","PSIM","detergant","DETERGENT",525
333,"SOA80","M","PSIM","detergant","DETERGENT",729
335,"SOA80","M","PSIM","detergant","DETERGENT",460
339,"SOA80","M","PSIM","detergant","DETERGENT",425
345,"SOA80","M","PSIM","detergant","DETERGENT",918
347,"SOA80","M","PSIM","detergant","DETERGENT",1232
357,"SOA80","M","PSIM","detergant","DETERGENT",542
320,"SOA80","M","UN","fantastic","DETERGENT",927
324,"SOA80","M","UN","fantastic","DETERGENT",711
326,"SOA80","M","UN","fantastic","DETERGENT",839
330,"SOA80","M","UN","fantastic","DETERGENT",1032
332,"SOA80","M","UN","fantastic","DETERGENT",558
336,"SOA80","M","UN","fantastic","DETERGENT",578
344,"SOA80","M","UN","fantastic","DETERGENT",1081
348,"SOA80","M","UN","fantastic","DETERGENT",526
350,"SOA80","M","UN","fantastic","DETERGENT",632
354,"SOA80","M","UN","fantastic","DETERGENT",1015
503,"SOA47","M","PDISS","diffosion","DIFFUSION",524
506,"SOA47","M","PDISS","diffosion","DIFFUSION",547
509,"SOA47","M","PDISS","diffosion","DIFFUSION",580
512,"SOA47","M","PDISS","diffosion","DIFFUSION",579
515,"SOA47","M","PDISS","diffosion","DIFFUSION",618
521,"SOA47","M","PDISS","diffosion","DIFFUSION",513
524,"SOA47","M","PDISS","diffosion","DIFFUSION",625
527,"SOA47","M","PDISS","diffosion","DIFFUSION",549
530,"SOA47","M","PDISS","diffosion","DIFFUSION",545
536,"SOA47","M","PDISS","diffosion","DIFFUSION",656
502,"SOA47","M","PSIM","deffusion","DIFFUSION",702
504,"SOA47","M","PSIM","deffusion","DIFFUSION",632
508,"SOA47","M","PSIM","deffusion","DIFFUSION",1144
510,"SOA47","M","PSIM","deffusion","DIFFUSION",677
514,"SOA47","M","PSIM","deffusion","DIFFUSION",460
516,"SOA47","M","PSIM","deffusion","DIFFUSION",596
520,"SOA47","M","PSIM","deffusion","DIFFUSION",613
522,"SOA47","M","PSIM","deffusion","DIFFUSION",681
526,"SOA47","M","PSIM","deffusion","DIFFUSION",631
528,"SOA47","M","PSIM","deffusion","DIFFUSION",621
501,"SOA47","M","UN","fortunate","DIFFUSION",582
507,"SOA47","M","UN","fortunate","DIFFUSION",511
511,"SOA47","M","UN","fortunate","DIFFUSION",711
513,"SOA47","M","UN","fortunate","DIFFUSION",896
517,"SOA47","M","UN","fortunate","DIFFUSION",1000
519,"SOA47","M","UN","fortunate","DIFFUSION",516
523,"SOA47","M","UN","fortunate","DIFFUSION",911
525,"SOA47","M","UN","fortunate","DIFFUSION",604
535,"SOA47","M","UN","fortunate","DIFFUSION",678
541,"SOA47","M","UN","fortunate","DIFFUSION",743
321,"SOA80","M","PDISS","diffosion","DIFFUSION",1413
324,"SOA80","M","PDISS","diffosion","DIFFUSION",600
327,"SOA80","M","PDISS","diffosion","DIFFUSION",511
330,"SOA80","M","PDISS","diffosion","DIFFUSION",534
333,"SOA80","M","PDISS","diffosion","DIFFUSION",847
336,"SOA80","M","PDISS","diffosion","DIFFUSION",498
345,"SOA80","M","PDISS","diffosion","DIFFUSION",754
348,"SOA80","M","PDISS","diffosion","DIFFUSION",417
354,"SOA80","M","PDISS","diffosion","DIFFUSION",776
357,"SOA80","M","PDISS","diffosion","DIFFUSION",455
320,"SOA80","M","PSIM","deffusion","DIFFUSION",779
322,"SOA80","M","PSIM","deffusion","DIFFUSION",874
328,"SOA80","M","PSIM","deffusion","DIFFUSION",693
332,"SOA80","M","PSIM","deffusion","DIFFUSION",481
334,"SOA80","M","PSIM","deffusion","DIFFUSION",566
338,"SOA80","M","PSIM","deffusion","DIFFUSION",640
344,"SOA80","M","PSIM","deffusion","DIFFUSION",678
346,"SOA80","M","PSIM","deffusion","DIFFUSION",395
350,"SOA80","M","PSIM","deffusion","DIFFUSION",643
319,"SOA80","M","UN","fortunate","DIFFUSION",679
323,"SOA80","M","UN","fortunate","DIFFUSION",636
325,"SOA80","M","UN","fortunate","DIFFUSION",1654
329,"SOA80","M","UN","fortunate","DIFFUSION",641
331,"SOA80","M","UN","fortunate","DIFFUSION",492
337,"SOA80","M","UN","fortunate","DIFFUSION",617
339,"SOA80","M","UN","fortunate","DIFFUSION",542
347,"SOA80","M","UN","fortunate","DIFFUSION",964
355,"SOA80","M","UN","fortunate","DIFFUSION",763
503,"SOA47","L","PDISS","ditigent","DILIGENT",483
506,"SOA47","L","PDISS","ditigent","DILIGENT",567
509,"SOA47","L","PDISS","ditigent","DILIGENT",689
512,"SOA47","L","PDISS","ditigent","DILIGENT",600
515,"SOA47","L","PDISS","ditigent","DILIGENT",1051
521,"SOA47","L","PDISS","ditigent","DILIGENT",737
524,"SOA47","L","PDISS","ditigent","DILIGENT",548
527,"SOA47","L","PDISS","ditigent","DILIGENT",594
536,"SOA47","L","PDISS","ditigent","DILIGENT",938
502,"SOA47","L","PSIM","dilegent","DILIGENT",831
504,"SOA47","L","PSIM","dilegent","DILIGENT",1227
508,"SOA47","L","PSIM","dilegent","DILIGENT",537
510,"SOA47","L","PSIM","dilegent","DILIGENT",844
514,"SOA47","L","PSIM","dilegent","DILIGENT",374
516,"SOA47","L","PSIM","dilegent","DILIGENT",680
520,"SOA47","L","PSIM","dilegent","DILIGENT",818
522,"SOA47","L","PSIM","dilegent","DILIGENT",627
526,"SOA47","L","PSIM","dilegent","DILIGENT",739
528,"SOA47","L","PSIM","dilegent","DILIGENT",1521
501,"SOA47","L","UN","paranoid","DILIGENT",644
507,"SOA47","L","UN","paranoid","DILIGENT",469
511,"SOA47","L","UN","paranoid","DILIGENT",865
513,"SOA47","L","UN","paranoid","DILIGENT",942
517,"SOA47","L","UN","paranoid","DILIGENT",985
519,"SOA47","L","UN","paranoid","DILIGENT",587
523,"SOA47","L","UN","paranoid","DILIGENT",620
525,"SOA47","L","UN","paranoid","DILIGENT",669
535,"SOA47","L","UN","paranoid","DILIGENT",565
541,"SOA47","L","UN","paranoid","DILIGENT",782
321,"SOA80","L","PDISS","ditigent","DILIGENT",1122
324,"SOA80","L","PDISS","ditigent","DILIGENT",652
327,"SOA80","L","PDISS","ditigent","DILIGENT",821
330,"SOA80","L","PDISS","ditigent","DILIGENT",738
333,"SOA80","L","PDISS","ditigent","DILIGENT",814
336,"SOA80","L","PDISS","ditigent","DILIGENT",617
345,"SOA80","L","PDISS","ditigent","DILIGENT",656
348,"SOA80","L","PDISS","ditigent","DILIGENT",404
354,"SOA80","L","PDISS","ditigent","DILIGENT",763
357,"SOA80","L","PDISS","ditigent","DILIGENT",534
320,"SOA80","L","PSIM","dilegent","DILIGENT",705
322,"SOA80","L","PSIM","dilegent","DILIGENT",1185
326,"SOA80","L","PSIM","dilegent","DILIGENT",591
328,"SOA80","L","PSIM","dilegent","DILIGENT",489
332,"SOA80","L","PSIM","dilegent","DILIGENT",369
334,"SOA80","L","PSIM","dilegent","DILIGENT",724
338,"SOA80","L","PSIM","dilegent","DILIGENT",648
344,"SOA80","L","PSIM","dilegent","DILIGENT",888
346,"SOA80","L","PSIM","dilegent","DILIGENT",388
350,"SOA80","L","PSIM","dilegent","DILIGENT",394
319,"SOA80","L","UN","paranoid","DILIGENT",819
323,"SOA80","L","UN","paranoid","DILIGENT",595
325,"SOA80","L","UN","paranoid","DILIGENT",669
329,"SOA80","L","UN","paranoid","DILIGENT",841
331,"SOA80","L","UN","paranoid","DILIGENT",572
335,"SOA80","L","UN","paranoid","DILIGENT",877
337,"SOA80","L","UN","paranoid","DILIGENT",689
339,"SOA80","L","UN","paranoid","DILIGENT",511
347,"SOA80","L","UN","paranoid","DILIGENT",1115
355,"SOA80","L","UN","paranoid","DILIGENT",651
503,"SOA47","L","PDISS","disuede","DISSUADE",638
509,"SOA47","L","PDISS","disuede","DISSUADE",990
512,"SOA47","L","PDISS","disuede","DISSUADE",459
521,"SOA47","L","PDISS","disuede","DISSUADE",727
524,"SOA47","L","PDISS","disuede","DISSUADE",624
527,"SOA47","L","PDISS","disuede","DISSUADE",832
536,"SOA47","L","PDISS","disuede","DISSUADE",1010
504,"SOA47","L","PSIM","disuade","DISSUADE",1412
508,"SOA47","L","PSIM","disuade","DISSUADE",650
514,"SOA47","L","PSIM","disuade","DISSUADE",475
516,"SOA47","L","PSIM","disuade","DISSUADE",1039
520,"SOA47","L","PSIM","disuade","DISSUADE",506
507,"SOA47","L","UN","gardenia","DISSUADE",702
511,"SOA47","L","UN","gardenia","DISSUADE",782
519,"SOA47","L","UN","gardenia","DISSUADE",472
525,"SOA47","L","UN","gardenia","DISSUADE",814
535,"SOA47","L","UN","gardenia","DISSUADE",731
541,"SOA47","L","UN","gardenia","DISSUADE",668
324,"SOA80","L","PDISS","disuede","DISSUADE",991
336,"SOA80","L","PDISS","disuede","DISSUADE",955
348,"SOA80","L","PDISS","disuede","DISSUADE",616
320,"SOA80","L","PSIM","disuade","DISSUADE",836
322,"SOA80","L","PSIM","disuade","DISSUADE",1510
328,"SOA80","L","PSIM","disuade","DISSUADE",458
334,"SOA80","L","PSIM","disuade","DISSUADE",524
338,"SOA80","L","PSIM","disuade","DISSUADE",522
350,"SOA80","L","PSIM","disuade","DISSUADE",535
323,"SOA80","L","UN","gardenia","DISSUADE",1181
325,"SOA80","L","UN","gardenia","DISSUADE",508
329,"SOA80","L","UN","gardenia","DISSUADE",1096
335,"SOA80","L","UN","gardenia","DISSUADE",699
337,"SOA80","L","UN","gardenia","DISSUADE",619
339,"SOA80","L","UN","gardenia","DISSUADE",1381
355,"SOA80","L","UN","gardenia","DISSUADE",751
503,"SOA47","M","PDISS","espirical","EMPIRICAL",452
506,"SOA47","M","PDISS","espirical","EMPIRICAL",647
509,"SOA47","M","PDISS","espirical","EMPIRICAL",770
512,"SOA47","M","PDISS","espirical","EMPIRICAL",455
515,"SOA47","M","PDISS","espirical","EMPIRICAL",501
521,"SOA47","M","PDISS","espirical","EMPIRICAL",514
524,"SOA47","M","PDISS","espirical","EMPIRICAL",555
527,"SOA47","M","PDISS","espirical","EMPIRICAL",495
530,"SOA47","M","PDISS","espirical","EMPIRICAL",439
536,"SOA47","M","PDISS","espirical","EMPIRICAL",536
502,"SOA47","M","PSIM","empyrical","EMPIRICAL",741
504,"SOA47","M","PSIM","empyrical","EMPIRICAL",511
508,"SOA47","M","PSIM","empyrical","EMPIRICAL",370
510,"SOA47","M","PSIM","empyrical","EMPIRICAL",593
514,"SOA47","M","PSIM","empyrical","EMPIRICAL",456
516,"SOA47","M","PSIM","empyrical","EMPIRICAL",625
520,"SOA47","M","PSIM","empyrical","EMPIRICAL",479
522,"SOA47","M","PSIM","empyrical","EMPIRICAL",732
526,"SOA47","M","PSIM","empyrical","EMPIRICAL",493
528,"SOA47","M","PSIM","empyrical","EMPIRICAL",627
501,"SOA47","M","UN","frequency","EMPIRICAL",678
507,"SOA47","M","UN","frequency","EMPIRICAL",509
511,"SOA47","M","UN","frequency","EMPIRICAL",843
513,"SOA47","M","UN","frequency","EMPIRICAL",768
517,"SOA47","M","UN","frequency","EMPIRICAL",711
519,"SOA47","M","UN","frequency","EMPIRICAL",472
523,"SOA47","M","UN","frequency","EMPIRICAL",674
525,"SOA47","M","UN","frequency","EMPIRICAL",787
535,"SOA47","M","UN","frequency","EMPIRICAL",792
541,"SOA47","M","UN","frequency","EMPIRICAL",514
321,"SOA80","M","PDISS","espirical","EMPIRICAL",726
324,"SOA80","M","PDISS","espirical","EMPIRICAL",524
327,"SOA80","M","PDISS","espirical","EMPIRICAL",677
330,"SOA80","M","PDISS","espirical","EMPIRICAL",537
333,"SOA80","M","PDISS","espirical","EMPIRICAL",700
336,"SOA80","M","PDISS","espirical","EMPIRICAL",558
345,"SOA80","M","PDISS","espirical","EMPIRICAL",765
348,"SOA80","M","PDISS","espirical","EMPIRICAL",421
354,"SOA80","M","PDISS","espirical","EMPIRICAL",942
357,"SOA80","M","PDISS","espirical","EMPIRICAL",558
320,"SOA80","M","PSIM","empyrical","EMPIRICAL",902
322,"SOA80","M","PSIM","empyrical","EMPIRICAL",792
326,"SOA80","M","PSIM","empyrical","EMPIRICAL",522
328,"SOA80","M","PSIM","empyrical","EMPIRICAL",791
332,"SOA80","M","PSIM","empyrical","EMPIRICAL",465
334,"SOA80","M","PSIM","empyrical","EMPIRICAL",625
338,"SOA80","M","PSIM","empyrical","EMPIRICAL",469
344,"SOA80","M","PSIM","empyrical","EMPIRICAL",813
346,"SOA80","M","PSIM","empyrical","EMPIRICAL",466
350,"SOA80","M","PSIM","empyrical","EMPIRICAL",450
319,"SOA80","M","UN","frequency","EMPIRICAL",690
323,"SOA80","M","UN","frequency","EMPIRICAL",492
325,"SOA80","M","UN","frequency","EMPIRICAL",629
329,"SOA80","M","UN","frequency","EMPIRICAL",753
331,"SOA80","M","UN","frequency","EMPIRICAL",528
335,"SOA80","M","UN","frequency","EMPIRICAL",617
337,"SOA80","M","UN","frequency","EMPIRICAL",519
339,"SOA80","M","UN","frequency","EMPIRICAL",628
347,"SOA80","M","UN","frequency","EMPIRICAL",663
355,"SOA80","M","UN","frequency","EMPIRICAL",532
501,"SOA47","M","PDISS","envelosse","ENVELOPE",578
507,"SOA47","M","PDISS","envelosse","ENVELOPE",487
510,"SOA47","M","PDISS","envelosse","ENVELOPE",593
513,"SOA47","M","PDISS","envelosse","ENVELOPE",676
516,"SOA47","M","PDISS","envelosse","ENVELOPE",615
522,"SOA47","M","PDISS","envelosse","ENVELOPE",565
525,"SOA47","M","PDISS","envelosse","ENVELOPE",474
528,"SOA47","M","PDISS","envelosse","ENVELOPE",578
503,"SOA47","M","PSIM","enveloppe","ENVELOPE",393
509,"SOA47","M","PSIM","enveloppe","ENVELOPE",493
511,"SOA47","M","PSIM","enveloppe","ENVELOPE",546
515,"SOA47","M","PSIM","enveloppe","ENVELOPE",358
517,"SOA47","M","PSIM","enveloppe","ENVELOPE",646
521,"SOA47","M","PSIM","enveloppe","ENVELOPE",445
523,"SOA47","M","PSIM","enveloppe","ENVELOPE",545
527,"SOA47","M","PSIM","enveloppe","ENVELOPE",798
535,"SOA47","M","PSIM","enveloppe","ENVELOPE",459
541,"SOA47","M","PSIM","enveloppe","ENVELOPE",569
502,"SOA47","M","UN","indirect","ENVELOPE",579
506,"SOA47","M","UN","indirect","ENVELOPE",641
508,"SOA47","M","UN","indirect","ENVELOPE",556
512,"SOA47","M","UN","indirect","ENVELOPE",449
514,"SOA47","M","UN","indirect","ENVELOPE",517
520,"SOA47","M","UN","indirect","ENVELOPE",453
524,"SOA47","M","UN","indirect","ENVELOPE",407
526,"SOA47","M","UN","indirect","ENVELOPE",502
530,"SOA47","M","UN","indirect","ENVELOPE",625
536,"SOA47","M","UN","indirect","ENVELOPE",646
319,"SOA80","M","PDISS","envelosse","ENVELOPE",592
322,"SOA80","M","PDISS","envelosse","ENVELOPE",886
325,"SOA80","M","PDISS","envelosse","ENVELOPE",459
328,"SOA80","M","PDISS","envelosse","ENVELOPE",533
331,"SOA80","M","PDISS","envelosse","ENVELOPE",673
334,"SOA80","M","PDISS","envelosse","ENVELOPE",586
337,"SOA80","M","PDISS","envelosse","ENVELOPE",456
338,"SOA80","M","PDISS","envelosse","ENVELOPE",369
346,"SOA80","M","PDISS","envelosse","ENVELOPE",413
355,"SOA80","M","PDISS","envelosse","ENVELOPE",511
321,"SOA80","M","PSIM","enveloppe","ENVELOPE",911
323,"SOA80","M","PSIM","enveloppe","ENVELOPE",427
327,"SOA80","M","PSIM","enveloppe","ENVELOPE",452
329,"SOA80","M","PSIM","enveloppe","ENVELOPE",899
333,"SOA80","M","PSIM","enveloppe","ENVELOPE",747
335,"SOA80","M","PSIM","enveloppe","ENVELOPE",480
339,"SOA80","M","PSIM","enveloppe","ENVELOPE",495
345,"SOA80","M","PSIM","enveloppe","ENVELOPE",911
347,"SOA80","M","PSIM","enveloppe","ENVELOPE",688
357,"SOA80","M","PSIM","enveloppe","ENVELOPE",506
320,"SOA80","M","UN","indirect","ENVELOPE",1029
324,"SOA80","M","UN","indirect","ENVELOPE",580
326,"SOA80","M","UN","indirect","ENVELOPE",846
330,"SOA80","M","UN","indirect","ENVELOPE",624
332,"SOA80","M","UN","indirect","ENVELOPE",644
344,"SOA80","M","UN","indirect","ENVELOPE",1204
348,"SOA80","M","UN","indirect","ENVELOPE",491
350,"SOA80","M","UN","indirect","ENVELOPE",501
354,"SOA80","M","UN","indirect","ENVELOPE",912
502,"SOA47","L","PDISS","equidocal","EQUIVOCAL",1230
508,"SOA47","L","PDISS","equidocal","EQUIVOCAL",591
511,"SOA47","L","PDISS","equidocal","EQUIVOCAL",533
520,"SOA47","L","PDISS","equidocal","EQUIVOCAL",573
523,"SOA47","L","PDISS","equidocal","EQUIVOCAL",539
526,"SOA47","L","PDISS","equidocal","EQUIVOCAL",571
535,"SOA47","L","PDISS","equidocal","EQUIVOCAL",493
541,"SOA47","L","PDISS","equidocal","EQUIVOCAL",859
501,"SOA47","L","PSIM","aquivocal","EQUIVOCAL",522
507,"SOA47","L","PSIM","aquivocal","EQUIVOCAL",469
512,"SOA47","L","PSIM","aquivocal","EQUIVOCAL",684
513,"SOA47","L","PSIM","aquivocal","EQUIVOCAL",1206
